a	please forgive me mira
a	sorry for getting frustrated
a	i beg your pardon pls
a	pardon
a	please excuse my behavior
a	please forgive me i didnt mean it
a	that was unkind of me sorry
a	i want to say sorry
a	i didnt mean that sorry
a	ana im sorry
a	accept my apology please
a	excuse me mira
a	sorry for my tone
a	please accept my apology
a	i beg your pardon
a	excuse my words please
a	forgive me for acting like that
a	sorry for being mean
a	im really sorry
a	pardon me
a	i am really sorry
a	pardon me please
a	pls excuse me
a	please accept my apologies
a	i shouldnnt have said that i apologize
a	sorry about this
a	im really sorry ok
a	sorry
a	please i beg your pardon
a	forgive me ana
a	sorry for venting so much
a	i wholeheartedly apologize
a	ok sorry
a	i truly apologize
a	please please forgive me
a	sorry about that
a	sorry about earlier
a	my apologies
a	i am so sorry
a	please excuse my insults
a	i sincerely apologize
a	i apologize
a	please exccuse me 
a	please accept my sincere apology
a	i said sorry
a	okay im sorry
a	my bad
a	i apologize for my action
a	sorry for insulting you
a	sorry about that mira
a	accept my apologies please
a	please excuse my harsh words
a	my mistake
a	apologies from the bottom of my heart
a	accept my apologies
a	apologies from me
a	please accepy my sincere apology
a	forgive me please
d	put kan mikami on preparty rb jams
d	please send only paper bills
d	play a karin dreijer andersson soundtrack on groove shark
d	mix flour and waters
d	play my all time favorite songs
d	please show me to a representative
d	look for examples in the real world
d	please put live with me onto my playlist named carncter latino
d	give me some good advice
d	olly play cnn news
d	rate who moved my cheese a one
d	book a table at a french restaurant for fern and i
d	play a song by rahsaan patterson
d	turn the lights off in the kitchen
d	add this artist to showstopper being mary jane
d	remove event
d	please provide your fax number to send my accident pictures
d	please add a track to my playlist called this is coti
d	mix together sugar and salt
d	tell me what my policy number is
d	open email for unread mails
d	olly lower the volume please
d	remove a car from policy
d	send message to google from alexa
d	please remove me from your mailing list
d	play elitsa todorova music
d	find a tv series called armageddon summer
d	get me a radio station that plays classical music 
d	post those letters
d	please give the name of the person who is handling the claim
d	talk some stuff about yourself
d	add the song to the soundscapes for gaming playlist
d	give me low lighting in the kitchen
d	include kunnon syy in my trap land playlist
d	access latest news
d	add give us rest to my 70s smash hits playlist
d	put petar georgiev kalica onto the old school hip hop playlist
d	decrease sound levels
d	add your comments to the document
d	find the show how to meet the lucky stars
d	play some steve boyett chant music
d	make me laugh 
d	rate mimi and the biscuit factory 5 out of 6
d	please help me with removing a lineholder today
d	cancel  the breakfast at tiffanys
d	switch the kitchen lights on
d	remove my exwife from my auto policy
d	yes continue where i left off for my order for sandwiches please
d	play my sophisticated dinner playlist on slacker
d	play sixties music by giovanni battista guadagnini
d	find the show manthan
d	book a spot at savoy hotel and grill that is neighboring wisconsin
d	please advice me the policy insted of lapsed
d	ana put the volume on max
d	give two out of 6 to a christmas carol
d	id like to cancel the trip to vegas next week
d	add bronislau kaper to the drive playlist
d	play some oleg anofriyev from 1960
d	play the top of emil de cou
d	find me an expert in python
d	find me the novel with the name to lose my life n
d	show the times for cheers for miss bishop at dipson theatres
d	decrease brightness
d	please hand me the keys
d	reboot the router
d	alexa play messages
d	hey olly find the stone free game
d	find good night and good luck at a cinemark theatres
d	find me a movie to watch
d	rate a taste of blackberries a three
d	in delanson 1 hour from now reserve a table for four
d	tell me the news
d	please add this track to my de camino playlist
d	bring me some juice
d	remove the specified lienholder from my policy
d	find the remote
d	select a winner then rank order the losers
d	assistant name activate cibc master card
d	book spot for my nieces and i at a tea house
d	please change beneficiary of my life insurance policy
d	rate the mystery of the tolling bell series 4 stars
d	play some jungle music on iheart
d	book spot for four at cliff house san francisco in martinique
d	book north indian osteria at 12 am
d	give the plague a 0
d	play some rock music
d	tell me pizza restaurants close by
d	rate the current essay 5 stars
d	tell me again
d	find films at alamo drafthouse cinema
d	put this album on my conexiones list
d	open groove shark and play sound track from dj cameo
d	give the current chronicle five of 6 points
d	hey ana calculate my food amounts
d	bring newspaper
d	switch the lights off in the kitchen
d	add a tune to my this is marc anthony playlist
d	add the entire album into indie espanol
d	show me emails from austin
d	siri turn bathroom lights on
d	add this album by bruce dickinson onto top entrevistas my playlist
d	rate this essay zero out of 6
d	alexa add wedding to my calendar for thursday at 1 pm
d	check the weather for kenedy vanuatu for around nine am
d	decrease the volume
d	alexa play the particular sadness of lemon cake in audible
d	include the required attachements
d	rate the current chronicle series 3 out of 6 points
d	give 3  6 stars to the simon  schuster encyclopedia of dinosaurs and prehistoric creatures
d	plow the lawn
d	play my rock playlist
d	give me some advice about
d	find me the sevenups
d	order 1 pizza from pizza hut
d	get me the trailer of good morning sunshine
d	add perfect sense part i to my women of classical list
d	please get me the welcome to the rileys game
d	use the big red button to move around
d	please get me a reservation at a restaurant with a pool for manuela and yvonne
d	please find the movie boss baby within 10 minutes of my location in wilmer alabama around 700 pm
d	turn the washroom lights off
d	check inbox for jack
d	get the video game of the chipmunk song
d	add circus to my post garage wave revival list
d	put meeting with pawel for tomorrow 10am
d	get me some music
d	please find me the olympia 74 soundtrack
